regione,case_rifugio,donne_ospitate,totale_posti_letto_autorizzati,posti_letto_autorizzati_medio,totale_posti_letto_utilizzati,posti_letto_utilizzati_medio,notti_medie_per_donna
piemonte,12.0,112.0,95.0,7.9,118.0,9.8,122.0
valle d'aosta,1.0,26.0,15.0,15.0,15.0,15.0,59.0
liguria,9.0,81.0,51.0,5.7,63.0,7.0,103.0
lombardia,100.0,728.0,670.0,6.7,781.0,7.8,180.0
trentino alto adige,6.0,132.0,94.0,15.7,158.0,26.3,106.0
bolzano,5.0,118.0,76.0,15.2,136.0,27.2,88.0
trento,1.0,14.0,18.0,18.0,22.0,22.0,197.0
veneto,31.0,203.0,195.0,6.3,246.0,7.9,164.0
friuli venezia giulia,18.0,129.0,106.0,5.9,108.0,6.0,117.0
emilia romagna,55.0,402.0,360.0,6.6,385.0,7.0,135.0
toscana,28.0,134.0,157.0,5.6,168.0,6.0,187.0
umbria,5.0,45.0,30.0,6.0,30.0,6.0,58.0
marche,7.0,111.0,58.0,8.3,63.0,9.0,127.0
lazio,14.0,151.0,115.0,8.2,159.0,11.4,137.0
abruzzo,6.0,30.0,37.0,6.2,40.0,6.7,114.0
molise,1.0,24.0,12.0,12.0,12.0,12.0,15.0
campania,24.0,210.0,162.0,6.8,278.0,11.6,92.0
puglia,16.0,139.0,131.0,8.2,148.0,9.3,108.0
basilicata,1.0,8.0,8.0,8.0,8.0,8.0,47.0
calabria,6.0,51.0,57.0,9.5,61.0,10.2,85.0
sicilia,30.0,254.0,286.0,9.5,312.0,10.4,123.0
sardegna,5.0,84.0,51.0,10.2,53.0,10.6,64.0
nord ovest,122.0,947.0,831.0,6.8,977.0,8.0,167.0
nord est,110.0,866.0,755.0,6.9,897.0,8.2,139.0
centro,54.0,441.0,360.0,6.7,420.0,7.8,154.0
sud,54.0,462.0,407.0,7.5,547.0,10.1,96.0
isole,35.0,338.0,337.0,9.6,365.0,10.4,114.0
