Regione,Conclusione percorso uscita violenza,Abbandono o ritorno dal maltrattante,Trasferimento ad altre strutture o abitazioni private o raggiungimento limite massimo giorni di permanenza ed altri motivi
Piemonte,"33,8","19,7","46,5"
Valle d'Aosta,55,25,20
Liguria,45,"22,5","32,5"
Lombardia,"32,1","21,6","46,3"
Trentino Alto Adige,"71,4","20,2","8,3"
Bolzano,"74,4","21,8","3,8"
Trento,"33,3",  -,"66,7"
Veneto,"57,6","16,5","25,9"
Friuli Venezia Giulia,33,34,33
Emilia Romagna,"33,3",22,"44,7"
Toscana,"43,1","23,1","33,8"
Umbria,50,"43,8","6,3"
Marche,"6,9","9,2","83,9"
Lazio,"50,5","17,2","32,3"
Abruzzo,"26,1","30,4","43,5"
Molise,"43,8","18,8","37,5"
Campania,"43,4",23,"33,6"
Puglia,"33,3","31,2","35,5"
Basilicata,"66,7","33,3",  -
Calabria,"45,5","36,4","18,2"
Sicilia,"32,6","44,4",23
Sardegna,"55,1","12,2","32,7"
Nord ovest,"33,9","21,6","44,5"
Nord est,"43,8","22,4","33,9"
Centro,"34,1","17,6","48,3"
Sud,"39,6","27,6","32,8"
Isole,"38,6","35,9","25,5"
