Regione,Case rifugio rispondenti,Donne ospitate,Numero totale di posti letto autorizzati,Numero medio di posti letto autorizzati in Casa rifugio,Numero totale di posti letto effettivamente utilizzati ,Numero medio di posti letto effettivamente utilizzati in Casa rifugio,Numero medio di notti per donna
Piemonte,12,112,95,"7,9",118,"9,8",122
Valle d'Aosta,1,26,15,15,15,15,59
Liguria,9,81,51,"5,7",63,7,103
Lombardia,100,728,670,"6,7",781,"7,8",180
Trentino Alto Adige,6,132,94,"15,7",158,"26,3",106
Bolzano,5,118,76,"15,2",136,"27,2",88
Trento,1,14,18,18,22,22,197
Veneto,31,203,195,"6,3",246,"7,9",164
Friuli Venezia Giulia,18,129,106,"5,9",108,6,117
Emilia Romagna,55,402,360,"6,6",385,7,135
Toscana,28,134,157,"5,6",168,6,187
Umbria,5,45,30,6,30,6,58
Marche,7,111,58,"8,3",63,9,127
Lazio,14,151,115,"8,2",159,"11,4",137
Abruzzo,6,30,37,"6,2",40,"6,7",114
Molise,1,24,12,12,12,12,15
Campania,24,210,162,"6,8",278,"11,6",92
Puglia,16,139,131,"8,2",148,"9,3",108
Basilicata,1,8,8,8,8,8,47
Calabria,6,51,57,"9,5",61,"10,2",85
Sicilia,30,254,286,"9,5",312,"10,4",123
Sardegna,5,84,51,"10,2",53,"10,6",64
Nord ovest,122,947,831,"6,8",977,8,167
Nord est,110,866,755,"6,9",897,"8,2",139
Centro,54,441,360,"6,7",420,"7,8",154
Sud,54,462,407,"7,5",547,"10,1",96
Isole,35,338,337,"9,6",365,"10,4",114
